condition_id,chunk_size,retrieval_strategy,indexing_representation,breakdown_type,breakdown_value,metric,value,n_scored
chunk500_dense_enriched,500,dense,metadata_enriched,category,thematic,anchor_coverage_at_5,0.13333333333333333,15
chunk500_dense_enriched,500,dense,metadata_enriched,category,thematic,mean_reciprocal_rank_at_5,0.06333333333333332,15
chunk500_dense_enriched,500,dense,metadata_enriched,category,comparative,anchor_coverage_at_5,0.2727272727272727,11
chunk500_dense_enriched,500,dense,metadata_enriched,category,comparative,mean_reciprocal_rank_at_5,0.17954545454545456,11
chunk500_dense_enriched,500,dense,metadata_enriched,chunk_size_sensitive,True,anchor_coverage_at_5,0.35714285714285715,7
chunk500_dense_enriched,500,dense,metadata_enriched,chunk_size_sensitive,True,mean_reciprocal_rank_at_5,0.2261904761904762,7
chunk500_dense_enriched,500,dense,metadata_enriched,chunk_size_sensitive,False,anchor_coverage_at_5,0.3787878787878788,33
chunk500_dense_enriched,500,dense,metadata_enriched,chunk_size_sensitive,False,mean_reciprocal_rank_at_5,0.30328282828282827,33
chunk500_hybrid,500,hybrid,text_only,overall_not_cross_category_comparable,all,anchor_coverage_at_5,0.1375,40
chunk500_hybrid,500,hybrid,text_only,overall_not_cross_category_comparable,all,mean_reciprocal_rank_at_5,0.10874999999999999,40
chunk500_hybrid,500,hybrid,text_only,category,factual,anchor_coverage_at_5,0.14285714285714285,14
chunk500_hybrid,500,hybrid,text_only,category,factual,mean_reciprocal_rank_at_5,0.10714285714285714,14
chunk500_hybrid,500,hybrid,text_only,category,thematic,anchor_coverage_at_5,0.1,15
chunk500_hybrid,500,hybrid,text_only,category,thematic,mean_reciprocal_rank_at_5,0.08333333333333333,15
chunk500_hybrid,500,hybrid,text_only,category,comparative,anchor_coverage_at_5,0.18181818181818182,11
chunk500_hybrid,500,hybrid,text_only,category,comparative,mean_reciprocal_rank_at_5,0.14545454545454548,11
chunk500_hybrid,500,hybrid,text_only,chunk_size_sensitive,True,anchor_coverage_at_5,0.21428571428571427,7
chunk500_hybrid,500,hybrid,text_only,chunk_size_sensitive,True,mean_reciprocal_rank_at_5,0.14285714285714285,7
chunk500_hybrid,500,hybrid,text_only,chunk_size_sensitive,False,anchor_coverage_at_5,0.12121212121212122,33
chunk500_hybrid,500,hybrid,text_only,chunk_size_sensitive,False,mean_reciprocal_rank_at_5,0.10151515151515152,33
chunk500_hybrid_enriched,500,hybrid,metadata_enriched,overall_not_cross_category_comparable,all,anchor_coverage_at_5,0.3625,40
chunk500_hybrid_enriched,500,hybrid,metadata_enriched,overall_not_cross_category_comparable,all,mean_reciprocal_rank_at_5,0.26,40
chunk500_hybrid_enriched,500,hybrid,metadata_enriched,category,factual,anchor_coverage_at_5,0.7142857142857143,14
chunk500_hybrid_enriched,500,hybrid,metadata_enriched,category,factual,mean_reciprocal_rank_at_5,0.5166666666666667,14
chunk500_hybrid_enriched,500,hybrid,metadata_enriched,category,thematic,anchor_coverage_at_5,0.13333333333333333,15
chunk500_hybrid_enriched,500,hybrid,metadata_enriched,category,thematic,mean_reciprocal_rank_at_5,0.09166666666666666,15
chunk500_hybrid_enriched,500,hybrid,metadata_enriched,category,comparative,anchor_coverage_at_5,0.22727272727272727,11
chunk500_hybrid_enriched,500,hybrid,metadata_enriched,category,comparative,mean_reciprocal_rank_at_5,0.16287878787878787,11
chunk500_hybrid_enriched,500,hybrid,metadata_enriched,chunk_size_sensitive,True,anchor_coverage_at_5,0.2857142857142857,7
chunk500_hybrid_enriched,500,hybrid,metadata_enriched,chunk_size_sensitive,True,mean_reciprocal_rank_at_5,0.2380952380952381,7
chunk500_hybrid_enriched,500,hybrid,metadata_enriched,chunk_size_sensitive,False,anchor_coverage_at_5,0.3787878787878788,33
chunk500_hybrid_enriched,500,hybrid,metadata_enriched,chunk_size_sensitive,False,mean_reciprocal_rank_at_5,0.26464646464646463,33
