family,scope,metric,a,b,win,loss,tie,n_nonzero,W,p_raw,p_holm,r,testable
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_hybrid,3,5,32,8,13.5,0.5260658393071347,1.0,,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_bm25,4,4,32,8,14.5,0.6236388261276493,1.0,,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_dense,4,6,30,10,21.0,0.5067954114046354,1.0,-0.20951397064659888,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_hybrid,2,8,30,10,14.5,0.18457255283988294,1.0,-0.41902794129319776,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_dense,chunk200_hybrid,1,8,31,9,2.0,0.014978337753425034,0.22467506630137551,,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_bm25,4,7,29,11,22.5,0.3493356515573367,1.0,-0.2814800981138945,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_dense,3,8,29,11,16.0,0.13009440924007054,1.0,-0.45572968266059116,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_hybrid,3,9,28,12,16.5,0.07618755288506611,1.0,-0.5095246653650681,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_bm25,7,7,26,14,52.0,0.974879380658153,1.0,-0.00838886027878148,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_dense,5,6,29,11,32.5,0.9644711462440767,1.0,-0.01340381419589974,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_hybrid,4,7,29,11,24.0,0.4224478419544786,1.0,-0.2412686555261953,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_dense,5,6,29,11,29.0,0.7213146313624996,1.0,-0.10723051356719791,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_hybrid,3,8,29,11,16.0,0.12952312738814045,1.0,-0.45572968266059116,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk500_dense,chunk500_hybrid,3,5,32,8,11.5,0.3615470714520429,1.0,,True
Family 2,factual,anchor_coverage_at_5,chunk200_bm25,chunk200_dense,2,1,11,3,2.0,0.5637028616507731,1.0,,True
Family 2,factual,anchor_coverage_at_5,chunk200_bm25,chunk200_hybrid,0,1,13,1,0.0,0.31731050786291415,1.0,,True
Family 2,factual,anchor_coverage_at_5,chunk200_bm25,chunk500_bm25,2,2,10,4,5.0,1.0,1.0,,True
Family 2,factual,anchor_coverage_at_5,chunk200_bm25,chunk500_dense,3,1,10,4,2.5,0.31731050786291415,1.0,,True
Family 2,factual,anchor_coverage_at_5,chunk200_bm25,chunk500_hybrid,2,1,11,3,2.0,0.5637028616507731,1.0,,True
Family 2,factual,anchor_coverage_at_5,chunk200_dense,chunk200_hybrid,0,2,12,2,0.0,0.15729920705028502,1.0,,True
Family 2,factual,anchor_coverage_at_5,chunk200_dense,chunk500_bm25,2,3,9,5,6.0,0.6547208460185769,1.0,,True
Family 2,factual,anchor_coverage_at_5,chunk200_dense,chunk500_dense,2,1,11,3,2.0,0.5637028616507731,1.0,,True
Family 2,factual,anchor_coverage_at_5,chunk200_dense,chunk500_hybrid,2,2,10,4,5.0,1.0,1.0,,True
Family 2,factual,anchor_coverage_at_5,chunk200_hybrid,chunk500_bm25,3,2,9,5,6.0,0.6547208460185769,1.0,,True
Family 2,factual,anchor_coverage_at_5,chunk200_hybrid,chunk500_dense,4,1,9,5,3.0,0.17971249487899976,1.0,,True
Family 2,factual,anchor_coverage_at_5,chunk200_hybrid,chunk500_hybrid,3,1,10,4,2.5,0.31731050786291415,1.0,,True
Family 2,factual,anchor_coverage_at_5,chunk500_bm25,chunk500_dense,3,1,10,4,2.5,0.31731050786291415,1.0,,True
Family 2,factual,anchor_coverage_at_5,chunk500_bm25,chunk500_hybrid,2,1,11,3,2.0,0.5637028616507731,1.0,,True
Family 2,factual,anchor_coverage_at_5,chunk500_dense,chunk500_hybrid,1,2,11,3,2.0,0.5637028616507731,1.0,,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_dense,3,1,10,4,3.5,0.5807121621890252,1.0,,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_hybrid,1,2,11,3,2.0,0.5929800980174267,1.0,,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_bm25,2,2,10,4,4.5,0.8539232992870668,1.0,,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_dense,3,1,10,4,2.5,0.3572725590318747,1.0,,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_hybrid,2,2,10,4,4.5,0.8539232992870668,1.0,,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_dense,chunk200_hybrid,0,3,11,3,0.0,0.10247043485974937,1.0,,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_bm25,2,3,9,5,6.0,0.6830913983096087,1.0,,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_dense,2,1,11,3,2.0,0.5929800980174267,1.0,,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_hybrid,2,2,10,4,4.5,0.8539232992870668,1.0,,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_bm25,3,3,8,6,8.5,0.6732899796599957,1.0,,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_dense,4,1,9,5,3.0,0.22067136191984693,1.0,,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_hybrid,3,2,9,5,6.0,0.6802795473344503,1.0,,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_dense,3,1,10,4,2.0,0.27332167829229814,1.0,,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_hybrid,2,2,10,4,5.0,1.0,1.0,,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk500_dense,chunk500_hybrid,1,2,11,3,1.0,0.28504940740261275,1.0,,True
Family 2,thematic,anchor_coverage_at_5,chunk200_bm25,chunk200_dense,1,1,13,2,1.0,0.6547208460185769,1.0,,True
Family 2,thematic,anchor_coverage_at_5,chunk200_bm25,chunk200_hybrid,1,1,13,2,1.5,1.0,1.0,,True
Family 2,thematic,anchor_coverage_at_5,chunk200_bm25,chunk500_bm25,1,0,14,1,0.0,0.31731050786291415,1.0,,True
Family 2,thematic,anchor_coverage_at_5,chunk200_bm25,chunk500_dense,0,1,14,1,0.0,0.31731050786291415,1.0,,True
Family 2,thematic,anchor_coverage_at_5,chunk200_bm25,chunk500_hybrid,0,1,14,1,0.0,0.31731050786291415,1.0,,True
Family 2,thematic,anchor_coverage_at_5,chunk200_dense,chunk200_hybrid,1,1,13,2,1.0,0.6547208460185769,1.0,,True
Family 2,thematic,anchor_coverage_at_5,chunk200_dense,chunk500_bm25,2,1,12,3,2.5,0.7854947471183542,1.0,,True
Family 2,thematic,anchor_coverage_at_5,chunk200_dense,chunk500_dense,1,2,12,3,1.0,0.27630291733748347,1.0,,True
Family 2,thematic,anchor_coverage_at_5,chunk200_dense,chunk500_hybrid,1,2,12,3,1.0,0.27630291733748347,1.0,,True
Family 2,thematic,anchor_coverage_at_5,chunk200_hybrid,chunk500_bm25,2,1,12,3,2.0,0.5637028616507731,1.0,,True
Family 2,thematic,anchor_coverage_at_5,chunk200_hybrid,chunk500_dense,1,2,12,3,2.0,0.5637028616507731,1.0,,True
Family 2,thematic,anchor_coverage_at_5,chunk200_hybrid,chunk500_hybrid,0,1,14,1,0.0,0.31731050786291415,1.0,,True
Family 2,thematic,anchor_coverage_at_5,chunk500_bm25,chunk500_dense,0,2,13,2,0.0,0.15729920705028502,1.0,,True
Family 2,thematic,anchor_coverage_at_5,chunk500_bm25,chunk500_hybrid,0,2,13,2,0.0,0.15729920705028502,1.0,,True
Family 2,thematic,anchor_coverage_at_5,chunk500_dense,chunk500_hybrid,1,1,13,2,1.5,1.0,1.0,,True
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_dense,1,2,12,3,3.0,1.0,1.0,,True
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_hybrid,1,2,12,3,1.5,0.4142161782425252,1.0,,True
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_bm25,1,0,14,1,0.0,0.31731050786291415,1.0,,True
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_dense,0,2,13,2,0.0,0.17971249487899976,1.0,,True
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_hybrid,0,3,12,3,0.0,0.10880943004054568,1.0,,True
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_dense,chunk200_hybrid,1,2,12,3,1.0,0.28504940740261275,1.0,,True
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_bm25,2,1,12,3,2.0,0.5929800980174267,1.0,,True
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_dense,1,3,11,4,1.0,0.14412703481601533,1.0,,True
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_hybrid,1,3,11,4,1.0,0.14077277337135014,1.0,,True
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_bm25,2,1,12,3,1.5,0.4142161782425252,1.0,,True
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_dense,1,2,12,3,1.5,0.4142161782425252,1.0,,True
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_hybrid,0,2,13,2,0.0,0.17971249487899976,1.0,,True
Family 2,thematic,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_dense,0,2,13,2,0.0,0.15729920705028502,1.0,,True
Family 2,thematic,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_hybrid,0,3,12,3,0.0,0.10880943004054568,1.0,,True
Family 2,thematic,mean_reciprocal_rank_at_5,chunk500_dense,chunk500_hybrid,1,2,12,3,3.0,1.0,1.0,,True
Family 2,comparative,anchor_coverage_at_5,chunk200_bm25,chunk200_dense,1,0,10,1,0.0,1.0,1.0,,True
