family,scope,metric,a,b,n,n_nonzero,size_only,p_raw,p_min_attainable,attainable_below_05
Family 2,comparative,anchor_coverage_at_5,chunk200_hybrid,chunk500_dense,11,1,False,1.0,1,False
Family 2,comparative,anchor_coverage_at_5,chunk200_hybrid,chunk500_hybrid,11,1,True,1.0,1,False
Family 2,comparative,anchor_coverage_at_5,chunk500_bm25,chunk500_dense,11,2,False,1.0,0.5,False
Family 2,comparative,anchor_coverage_at_5,chunk500_bm25,chunk500_hybrid,11,2,False,1.0,0.5,False
Family 2,comparative,anchor_coverage_at_5,chunk500_dense,chunk500_hybrid,11,0,False,,,
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_dense,11,2,False,0.5,0.5,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_hybrid,11,2,False,1.0,0.5,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_bm25,11,3,True,0.5,0.25,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_dense,11,4,False,0.5,0.125,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_hybrid,11,3,False,0.25,0.25,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_dense,chunk200_hybrid,11,3,False,0.25,0.25,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_bm25,11,3,False,0.25,0.25,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_dense,11,4,True,0.125,0.125,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_hybrid,11,4,False,0.125,0.125,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_bm25,11,5,False,0.375,0.0625,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_dense,11,3,False,0.25,0.25,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_hybrid,11,4,True,0.25,0.125,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_dense,11,5,False,0.6875,0.0625,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_hybrid,11,4,False,0.375,0.125,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk500_dense,chunk500_hybrid,11,2,False,1.0,0.5,False
Family 3,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_dense_enriched,40,14,False,0.020756931750639907,0.000745659,True
Family 3,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_hybrid_enriched,40,10,False,0.036414984519271706,0.00401651,True
Family 3,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_bm25_enriched,40,8,True,0.5637028616507731,0.00937477,True
Family 3,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_dense_enriched,40,12,False,0.08955507441364255,0.00161622,True
Family 3,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_hybrid_enriched,40,11,False,0.060886840039593826,0.00255128,True
Family 3,pooled,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_hybrid_enriched,40,7,False,0.4697988825336007,0.011412,True
Family 3,pooled,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_bm25_enriched,40,13,False,0.0034052358212947604,0.00115405,True
