family,scope,metric,a,b,win,loss,n_nonzero,p_raw_reported,p_holm_reported,p_raw_exact,p_holm_exact,sig_reported,sig_exact
Family 2,factual,mean_reciprocal_rank_at_5,chunk500_dense,chunk500_hybrid,1,2,3,0.28504940740261275,1.0,0.5,1.0,False,False
Family 2,thematic,anchor_coverage_at_5,chunk200_bm25,chunk200_dense,1,1,2,0.6547208460185769,1.0,1.0,1.0,False,False
Family 2,thematic,anchor_coverage_at_5,chunk200_bm25,chunk200_hybrid,1,1,2,1.0,1.0,1.0,1.0,False,False
Family 2,thematic,anchor_coverage_at_5,chunk200_bm25,chunk500_bm25,1,0,1,0.31731050786291415,1.0,1.0,1.0,False,False
Family 2,thematic,anchor_coverage_at_5,chunk200_bm25,chunk500_dense,0,1,1,0.31731050786291415,1.0,1.0,1.0,False,False
Family 2,thematic,anchor_coverage_at_5,chunk200_bm25,chunk500_hybrid,0,1,1,0.31731050786291415,1.0,1.0,1.0,False,False
Family 2,thematic,anchor_coverage_at_5,chunk200_dense,chunk200_hybrid,1,1,2,0.6547208460185769,1.0,1.0,1.0,False,False
Family 2,thematic,anchor_coverage_at_5,chunk200_dense,chunk500_bm25,2,1,3,0.7854947471183542,1.0,1.0,1.0,False,False
Family 2,thematic,anchor_coverage_at_5,chunk200_dense,chunk500_dense,1,2,3,0.27630291733748347,1.0,0.5,1.0,False,False
Family 2,thematic,anchor_coverage_at_5,chunk200_dense,chunk500_hybrid,1,2,3,0.27630291733748347,1.0,0.5,1.0,False,False
Family 2,thematic,anchor_coverage_at_5,chunk200_hybrid,chunk500_bm25,2,1,3,0.5637028616507731,1.0,1.0,1.0,False,False
Family 2,thematic,anchor_coverage_at_5,chunk200_hybrid,chunk500_dense,1,2,3,0.5637028616507731,1.0,1.0,1.0,False,False
Family 2,thematic,anchor_coverage_at_5,chunk200_hybrid,chunk500_hybrid,0,1,1,0.31731050786291415,1.0,1.0,1.0,False,False
Family 2,thematic,anchor_coverage_at_5,chunk500_bm25,chunk500_dense,0,2,2,0.15729920705028502,1.0,0.5,1.0,False,False
Family 2,thematic,anchor_coverage_at_5,chunk500_bm25,chunk500_hybrid,0,2,2,0.15729920705028502,1.0,0.5,1.0,False,False
Family 2,thematic,anchor_coverage_at_5,chunk500_dense,chunk500_hybrid,1,1,2,1.0,1.0,1.0,1.0,False,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_dense,1,2,3,1.0,1.0,1.0,1.0,False,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_hybrid,1,2,3,0.4142161782425252,1.0,0.75,1.0,False,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_bm25,1,0,1,0.31731050786291415,1.0,1.0,1.0,False,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_dense,0,2,2,0.17971249487899976,1.0,0.5,1.0,False,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_hybrid,0,3,3,0.10880943004054568,1.0,0.25,1.0,False,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_dense,chunk200_hybrid,1,2,3,0.28504940740261275,1.0,0.5,1.0,False,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_bm25,2,1,3,0.5929800980174267,1.0,0.75,1.0,False,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_dense,1,3,4,0.14412703481601533,1.0,0.25,1.0,False,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_hybrid,1,3,4,0.14077277337135014,1.0,0.25,1.0,False,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_bm25,2,1,3,0.4142161782425252,1.0,0.75,1.0,False,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_dense,1,2,3,0.4142161782425252,1.0,0.75,1.0,False,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_hybrid,0,2,2,0.17971249487899976,1.0,0.5,1.0,False,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_dense,0,2,2,0.15729920705028502,1.0,0.5,1.0,False,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_hybrid,0,3,3,0.10880943004054568,1.0,0.25,1.0,False,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk500_dense,chunk500_hybrid,1,2,3,1.0,1.0,1.0,1.0,False,False
Family 2,comparative,anchor_coverage_at_5,chunk200_bm25,chunk200_dense,1,0,1,1.0,1.0,1.0,1.0,False,False
Family 2,comparative,anchor_coverage_at_5,chunk200_bm25,chunk200_hybrid,0,1,1,1.0,1.0,1.0,1.0,False,False
Family 2,comparative,anchor_coverage_at_5,chunk200_bm25,chunk500_bm25,0,2,2,0.5,1.0,0.5,1.0,False,False
Family 2,comparative,anchor_coverage_at_5,chunk200_bm25,chunk500_dense,0,2,2,0.5,1.0,0.5,1.0,False,False
Family 2,comparative,anchor_coverage_at_5,chunk200_bm25,chunk500_hybrid,0,2,2,0.5,1.0,0.5,1.0,False,False
Family 2,comparative,anchor_coverage_at_5,chunk200_dense,chunk200_hybrid,0,2,2,0.5,1.0,0.5,1.0,False,False
Family 2,comparative,anchor_coverage_at_5,chunk200_dense,chunk500_bm25,0,3,3,0.25,1.0,0.25,1.0,False,False
Family 2,comparative,anchor_coverage_at_5,chunk200_dense,chunk500_dense,0,3,3,0.25,1.0,0.25,1.0,False,False
Family 2,comparative,anchor_coverage_at_5,chunk200_dense,chunk500_hybrid,0,3,3,0.25,1.0,0.25,1.0,False,False
Family 2,comparative,anchor_coverage_at_5,chunk200_hybrid,chunk500_bm25,1,2,3,1.0,1.0,1.0,1.0,False,False
Family 2,comparative,anchor_coverage_at_5,chunk200_hybrid,chunk500_dense,0,1,1,1.0,1.0,1.0,1.0,False,False
Family 2,comparative,anchor_coverage_at_5,chunk200_hybrid,chunk500_hybrid,0,1,1,1.0,1.0,1.0,1.0,False,False
Family 2,comparative,anchor_coverage_at_5,chunk500_bm25,chunk500_dense,1,1,2,1.0,1.0,1.0,1.0,False,False
Family 2,comparative,anchor_coverage_at_5,chunk500_bm25,chunk500_hybrid,1,1,2,1.0,1.0,1.0,1.0,False,False
Family 2,comparative,anchor_coverage_at_5,chunk500_dense,chunk500_hybrid,0,0,0,,,,,False,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_dense,2,0,2,0.5,1.0,0.5,1.0,False,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_hybrid,1,1,2,1.0,1.0,1.0,1.0,False,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_bm25,1,2,3,0.5,1.0,0.5,1.0,False,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_dense,1,3,4,0.5,1.0,0.5,1.0,False,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_hybrid,0,3,3,0.25,1.0,0.25,1.0,False,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_dense,chunk200_hybrid,0,3,3,0.25,1.0,0.25,1.0,False,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_bm25,0,3,3,0.25,1.0,0.25,1.0,False,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_dense,0,4,4,0.125,1.0,0.125,1.0,False,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_hybrid,0,4,4,0.125,1.0,0.125,1.0,False,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_bm25,2,3,5,0.375,1.0,0.375,1.0,False,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_dense,0,3,3,0.25,1.0,0.25,1.0,False,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_hybrid,1,3,4,0.25,1.0,0.25,1.0,False,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_dense,2,3,5,0.6875,1.0,0.6875,1.0,False,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_hybrid,1,3,4,0.375,1.0,0.375,1.0,False,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk500_dense,chunk500_hybrid,1,1,2,1.0,1.0,1.0,1.0,False,False
Family 3,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_dense_enriched,2,12,14,0.020756931750639907,0.2490831810076789,0.022216796875,0.2666015625,False,False
Family 3,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_hybrid_enriched,1,9,10,0.036414984519271706,0.3641498451927171,0.03515625,0.3515625,False,False
Family 3,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_bm25_enriched,5,3,8,0.5637028616507731,1.0,0.6875,1.0,False,False
Family 3,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_dense_enriched,2,10,12,0.08955507441364255,0.7164405953091404,0.11474609375,0.91796875,False,False
Family 3,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_hybrid_enriched,2,9,11,0.060886840039593826,0.5479815603563445,0.0751953125,0.6767578125,False,False
Family 3,pooled,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_hybrid_enriched,4,3,7,0.4697988825336007,1.0,0.6875,1.0,False,False
Family 3,pooled,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_bm25_enriched,12,1,13,0.0034052358212947604,0.051078537319421406,0.001953125,0.029296875,False,True
Family 3,pooled,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_dense_enriched,4,2,6,0.45035134358487394,1.0,0.5625,1.0,False,False
Family 3,pooled,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_hybrid_enriched,5,3,8,0.3883232289789247,1.0,0.4375,1.0,False,False
Family 3,pooled,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_bm25_enriched,11,1,12,0.0044314325694077925,0.0620400559717091,0.00341796875,0.0478515625,False,True
Family 3,pooled,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_dense_enriched,4,4,8,0.5580088344574561,1.0,0.671875,1.0,False,False
Family 3,pooled,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_hybrid_enriched,5,4,9,0.41741292343058733,1.0,0.53125,1.0,False,False
Family 3,pooled,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_dense_enriched,2,11,13,0.021381691163120643,0.2490831810076789,0.022216796875,0.2666015625,False,False
Family 3,pooled,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_hybrid_enriched,0,9,9,0.00616989932054416,0.08020869116707408,0.00390625,0.05078125,False,False
Family 3,pooled,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_hybrid_enriched,3,3,6,0.7477301646241347,1.0,0.90625,1.0,False,False
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_dense_enriched,6,16,22,0.11839559287338726,0.9471647429870981,0.1218113899230957,0.9744911193847656,False,False
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_hybrid_enriched,2,14,16,0.0065248215971748565,0.07829785916609827,0.004425048828125,0.0531005859375,False,False
